#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
IU|COLA|00|BH1|M|40.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:55:08.694536Z
IU|COLA|00|BH1|M|40.0|2020-01-09T13:55:09.594538Z|2020-02-22T05:10:16.469538Z
IU|COLA|00|BH1|M|40.0|2020-02-22T05:10:29.319538Z|2020-03-10T23:13:40.019538Z
IU|COLA|00|BH1|M|40.0|2020-03-10T23:14:05.219538Z|2020-03-11T13:15:23.369538Z
IU|COLA|00|BH1|M|40.0|2020-03-11T13:15:34.594538Z|2020-03-24T18:03:47.569538Z
IU|COLA|00|BH1|M|40.0|2020-03-24T18:04:12.719538Z|2020-03-24T23:41:14.219538Z
IU|COLA|00|BH1|M|40.0|2020-03-25T00:00:00.019539Z|2020-05-13T18:19:35.894538Z
IU|COLA|00|BH1|M|40.0|2020-05-13T18:47:06.494538Z|2020-06-22T15:05:27.569538Z
IU|COLA|00|BH1|M|40.0|2020-06-22T15:06:05.594545Z|2021-01-13T12:37:16.569538Z
IU|COLA|00|BH1|M|40.0|2021-01-13T23:38:55.594538Z|2021-06-09T19:51:49.644538Z
IU|COLA|00|BH1|M|40.0|2021-06-09T19:51:58.594538Z|2021-07-09T02:55:56.519538Z
IU|COLA|00|BH1|M|40.0|2021-07-09T02:56:29.594539Z|2022-01-09T06:46:18.444538Z
IU|COLA|00|BH1|M|40.0|2022-01-09T06:47:50.444538Z|2022-03-10T23:44:13.344538Z
IU|COLA|00|BH1|M|40.0|2022-03-10T23:45:44.844538Z|2022-09-08T06:46:30.019539Z
IU|COLA|00|BH1|M|40.0|2022-09-08T06:47:24.594539Z|2022-11-18T05:59:58.469538Z
IU|COLA|00|BH1|M|40.0|2022-11-18T15:02:53.594538Z|2023-07-10T18:02:26.569538Z
IU|COLA|00|BH1|M|40.0|2023-07-10T18:26:42.594538Z|2023-07-10T18:38:16.569538Z
IU|COLA|00|BH1|M|40.0|2023-07-10T18:38:19.594539Z|2023-12-10T18:22:53.694538Z
IU|COLA|00|BH1|M|40.0|2023-12-10T18:49:02.044538Z|2023-12-20T18:39:37.369538Z
IU|COLA|00|BH1|M|40.0|2023-12-20T18:48:10.994539Z|2024-07-01T00:00:00.000000Z
IU|COLA|00|BH2|M|40.0|2020-01-01T00:00:00.000000Z|2020-01-09T13:55:06.069536Z
IU|COLA|00|BH2|M|40.0|2020-01-09T13:55:09.594538Z|2020-02-22T05:10:19.369538Z
IU|COLA|00|BH2|M|40.0|2020-02-22T05:10:32.594538Z|2020-03-10T19:10:53.819538Z
